name,type,value
Dragon Slayer,1,1
Rusty Iron Sword,1,1
Archmage Staff,1,1
Silver Archer Bow,1,1
Assassin Dagger,1,1
Paladin Hammer,1,1
Training Wooden Sword,1,1
Flame Mace,1,1
Ice Fang Spear,1,1
Wind Boomerang,1,1
Giant Axe,1,1
Shadow Scythe,1,1
Enhanced Leather Armor,2,1
Mithril Breastplate,2,1
Sun Shield,2,1
Knight Iron Helmet,2,1
Mage Robe,2,1
Rogue Boots,2,1
Steel Gauntlets,2,1
Guardian Cloak,2,1
Dragon Scale Armor,2,1
Old Cloth,2,1
Holy Wall Shield,2,1
Spiked Shoulder Pad,2,1
Lesser Health Potion,3,99
Medium Health Potion,3,50
Greater Health Potion,3,20
Mana Recovery Potion,3,50
Strong Mana Potion,3,20
Antidote,3,10
Elixir of Vitality,3,10
Invisibility Potion,3,3
Swiftness Potion,3,5
Elixir of Strength,3,2
Elixir of Intelligence,3,2
Fire Bomb,3,15
Smoke Bomb,3,10
Blessed Holy Water,3,5
Ancient Ruins Map,0,1
Glowing Mana Stone,0,50
Goblin Ear,0,100
Broken Arrowhead,0,200
Old Key,0,5
Golden Key,0,1
Treasure Chest Piece,0,10
Town Return Scroll,0,10
Sealed Letter,0,1
Rusty Gear,0,30
Black Mark,0,1
Soul Orb,0,5
Fireball Spellbook,4,1
Forgotten History Record,4,1
Introduction to Herbology,4,1
Ice Arrow Secret Book,4,1
Ancient Language Dictionary,4,1
Alchemy Recipe,4,1
Swordsmanship Manual: Basic,4,1
Shadow Footwork Book,4,1
Earth Rage Spellbook,4,1
Old Diary,4,1
Dragon Language Translation,4,1
Prophecy of the Sage,4,1
World Tree Branch,5,10
Dragon Scale,5,5
Steel Ingot,5,50
Mysterious Powder,5,500
Enhancement Stone,5,100
Shiny Ore,5,30
Leather Scraps,5,200
Hard Shell,5,50
Spirit Essence,5,20
Orc Tooth,5,100
Enchanted Thread,5,40
Graphite Stone,5,60
Balrog Horn,5,1
Bronze Piece,5,80
Dried Herb,5,100
Venom Sac,5,30
Pendant of Luck,6,1
Thief Ring,6,1
Necklace of Healing,6,1
Noble Signet Ring,6,1
Earring of Fire Resistance,6,1
Belt of Earth,6,1
Bracelet of Wind,6,1
Brooch of Souls,6,1
Crown of Wisdom,6,1
Dark Eye Fragment,6,1
Fairy Tear Ring,6,1
Emblem of Battle,6,1
Shiny Pearl Necklace,6,1
Frozen Heart Stone,6,1
Ancient Medal,6,1
Master Smith Hammer,0,1
Bard Harp,0,1
Cooking Pot,0,1
Fishing Rod,0,1
Sleeping Bag,0,1
Torch,0,20
Empty Glass Bottle,0,50
